valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.599,2020,0.12,"['Future', 'Lil Uzi Vert']",0.94,228796,0.532,1,5n6gBhdEjCuj3obgCoTEFD,0.0,11,0.0925,-5.9979999999999976,0,That’s It,77,2020-11-13,0.358,123.04299999999999
0.28,2020,0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0.0,0,0.157,-7.648,0,THE SCOTTS,85,2020-04-24,0.0514,129.97899999999998
0.535,2020,0.758,['Fousheé'],0.711,141224,0.5920000000000001,1,6HlE9t71z9DjGi7KqSyEpA,0.0,4,0.156,-7.136,0,Deep End,88,2020-07-31,0.23,124.749
0.3670000000000001,2020,0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0.0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),86,2020-07-20,0.107,130.97
0.5820000000000001,2020,0.0442,['The Kid LAROI'],0.762,151705,0.426,1,3QCU8BT0zDS9LPVfEhRFEE,0.0,8,0.0858,-6.865,1,ALWAYS DO,83,2020-11-06,0.113,167.827
0.20199999999999999,2020,0.0057399999999999994,"['21 Savage', 'Metro Boomin']",0.847,193591,0.733,1,6pcywuOeGGWeOQzdUyti6k,1.04e-05,10,0.151,-6.439,0,Glock In My Lap,80,2020-10-02,0.16,130.029
0.805,2020,0.0317,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",0.883,232065,0.8079999999999999,1,3jT2LKH0RSbQ8jIUNFzXm5,0.0,1,0.207,-3.158,0,PTSD,80,2020-02-28,0.183,119.012
0.3720000000000001,2020,0.0815,['Ariana Grande'],0.6859999999999999,158436,0.526,0,6u7gmPOz7pzzaeR9xSBpsR,7.75e-06,0,0.14400000000000002,-6.8420000000000005,1,my hair,83,2020-10-30,0.0374,92.01299999999999
0.377,2020,0.0951,['Gabby Barrett'],0.466,210773,0.536,0,23T0OX7QOiIUFShSzbJ5Uo,0.0,6,0.114,-6.227,1,I Hope,80,2020-06-19,0.0429,75.998
0.0397,2020,0.629,"['Drake', 'Giveon']",0.735,220488,0.449,1,4wVOKKEHUJxHCFFNUWDn0B,0.0,10,0.113,-7.5070000000000014,1,Chicago Freestyle (feat. Giveon),84,2020-05-01,0.34700000000000003,122.947
0.26,2020,0.0967,['Ariana Grande'],0.624,146959,0.672,1,0q85C1JiECyYIQthz1posA,0.0,0,0.155,-5.334,1,obvious,82,2020-10-30,0.106,159.852
0.46,2020,0.114,"['Internet Money', 'Juice WRLD', 'Trippie Redd']",0.7609999999999999,174730,0.517,1,2rFsFjq0D9JAmc0APpCO6P,0.0,5,0.157,-6.916,1,Blastoff (feat. Juice Wrld & Trippie Redd),81,2020-08-29,0.0927,147.912
0.27399999999999997,2020,0.275,"['Diplo', 'Morgan Wallen']",0.765,169227,0.556,1,3FU6urUVsgXa6RBuV2PdRk,0.0,11,0.0824,-6.4170000000000025,1,Heartless (feat. Morgan Wallen),79,2020-05-29,0.0512,111.03299999999999
0.629,2020,0.7490000000000001,['StaySolidRocky'],0.728,147800,0.431,0,5RqR4ZCCKJDcBLIn4sih9l,0.0,6,0.0996,-9.966000000000001,0,Party Girl,84,2020-04-21,0.0622,130.02200000000002
0.706,2020,0.21600000000000005,"['Future', 'Lil Uzi Vert']",0.758,274313,0.574,1,6lt8iodSkYWEV0ifKCSlfg,0.0,9,0.14400000000000002,-7.8329999999999975,0,Stripes Like Burberry,77,2020-11-13,0.217,144.08100000000005
0.0875,2020,0.795,['Billie Eilish'],0.444,208155,0.309,0,2ygvZOXrIeVL4xZmAWJT2C,0.132,8,0.35200000000000004,-10.956,1,my future,85,2020-07-30,0.062,104.745
0.649,2020,0.35600000000000004,['Lil Eazzyy'],0.7959999999999999,128014,0.426,1,3NxFTRr0692mbC5hD0nEZD,2.730000000000001e-05,1,0.0941,-13.207,1,Onna Come Up,80,2020-10-02,0.285,150.043
0.522,2020,0.000417,"['Machine Gun Kelly', 'Halsey']",0.654,171621,0.875,1,1VSuFS7PahCN3SWbOcQ98m,0.0086,1,0.19399999999999998,-4.845,1,forget me too (feat. Halsey),82,2020-09-25,0.0744,99.975
0.309,2020,0.634,['Dan + Shay'],0.721,171827,0.27699999999999997,0,5ovVcYo2MvjVydFwFyaaqy,0.0,1,0.11199999999999999,-7.127999999999999,1,I Should Probably Go To Bed,79,2020-07-31,0.0365,131.935
0.493,2020,0.00162,['Conan Gray'],0.628,185773,0.639,0,6KfoDhO4XUWSbnyKjNp9c4,0.0,8,0.354,-5.46,1,Maniac,84,2020-03-20,0.0435,108.045
0.452,2020,0.007759999999999999,"['Marshmello', 'Halsey']",0.63,172762,0.633,0,3Z8FwOEN59mRMxDCtb8N0A,0.0,4,0.0541,-7.087999999999999,1,Be Kind (with Halsey),86,2020-05-01,0.0457,93.995
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.5539999999999999,1,22LAwLoDA5b4AaGSkg6bKW,0.0,0,0.132,-7.909,1,Blueberry Faygo,84,2020-02-06,0.0383,99.03399999999999
0.716,2020,0.19899999999999998,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",0.679,202008,0.516,1,7Bar1kLTmsRmH6FCKKMEyU,0.0,0,0.0965,-6.371,0,Hit Different,81,2020-09-04,0.0452,120.074
0.391,2020,0.297,['Vedo'],0.774,201587,0.376,1,4lsHZ92XCFOQfzJFBTluk8,0.0,5,0.165,-9.372,1,You Got It,86,2020-03-27,0.20800000000000002,122.089
0.636,2020,0.016,"['Megan Thee Stallion', 'Beyoncé']",0.8220000000000001,242001,0.743,1,5v4GgrXPMghOnBBLmveLac,0.0,10,0.127,-4.772,0,Savage Remix (feat. Beyoncé),82,2020-04-29,0.28,84.459
0.4270000000000001,2020,0.000335,['Miley Cyrus'],0.58,213672,0.9079999999999999,0,5i7ThJfYLAzp2DyZuFpF6j,4.84e-05,4,0.087,-5.303,1,Heart Of Glass (Live from the iHeart Festival),84,2020-09-29,0.0341,115.016
0.835,2020,0.0337,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",0.7929999999999999,247308,0.7709999999999999,0,35UUpTmrcFXNIVIN26ujXl,1.51e-06,5,0.284,-3.417,1,Relación - Remix,94,2020-09-04,0.0959,171.94299999999996
0.47600000000000003,2020,0.128,['Polo G'],0.616,177273,0.617,1,170DNUSnQRp1tGpppF26pA,0.0,1,0.177,-8.431000000000001,1,Epidemic,81,2020-09-25,0.52,175.929
0.557,2020,0.18600000000000005,['Ariana Grande'],0.688,132279,0.455,0,1whfVLMKWqAX3uk97VXsNN,0.0,11,0.0794,-8.632,0,west side,81,2020-10-30,0.19899999999999998,87.865
